id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
91818,CRWR0170,CRWR,"Writing: Poetry, Fiction, NonF",B,1,20,16,4,,TuTh0945,TuTh,0945,1100,TuTh 0945-1100 ATA A100
90884,CRWR0175,CRWR,The Art and Practice of Poetry,A,1,15,12,3,Karin Gottshall,MoWe1115,MoWe,1115,1230,MoWe 1115-1230 MNR 416
91374,CRWR0370,CRWR,Advanced Fiction Workshop,A,1,15,6,9,Robert Cohen,Tu1930,Tu,1930,2225,Tu 1930-2225 AXN 104
91375,CRWR0380,CRWR,Advanced Non-Fiction Workshop,A,1,15,15,0,,TuTh1115,TuTh,1115,1230,TuTh 1115-1230 ATA A100
90885,CRWR0560,CRWR,Special Project: Writing,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90886,CRWR0560,CRWR,Special Project: Writing,B,1,99,0,99,Deborah Evans,Su1900,Su,1900,2029,Su 1900-2029
90888,CRWR0560,CRWR,Special Project: Writing,D,1,99,0,99,Christopher Shaw,Su1900,Su,1900,2029,Su 1900-2029
90889,CRWR0560,CRWR,Special Project: Writing,E,1,99,0,99,James Berg,Su1900,Su,1900,2029,Su 1900-2029
90890,CRWR0560,CRWR,Special Project: Writing,F,1,99,0,99,John Bertolini,Su1900,Su,1900,2029,Su 1900-2029
90891,CRWR0560,CRWR,Special Project: Writing,G,1,99,0,99,Daniel Brayton,Su1900,Su,1900,2029,Su 1900-2029
90892,CRWR0560,CRWR,Special Project: Writing,H,1,99,0,99,Megan Mayhew-Bergman,Su1900,Su,1900,2029,Su 1900-2029
90893,CRWR0560,CRWR,Special Project: Writing,I,1,99,0,99,Michael Newbury,Su1900,Su,1900,2029,Su 1900-2029
90894,CRWR0560,CRWR,Special Project: Writing,J,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90895,CRWR0560,CRWR,Special Project: Writing,K,1,99,0,99,Timothy Billings,Su1900,Su,1900,2029,Su 1900-2029
90896,CRWR0560,CRWR,Special Project: Writing,L,1,99,0,99,Albert Baldridge,Su1900,Su,1900,2029,Su 1900-2029
90897,CRWR0560,CRWR,Special Project: Writing,N,1,99,0,99,Yumna Siddiqi,Su1900,Su,1900,2029,Su 1900-2029
90898,CRWR0560,CRWR,Special Project: Writing,O,1,99,0,99,Spring Ulmer,Su1900,Su,1900,2029,Su 1900-2029
90900,CRWR0560,CRWR,Special Project: Writing,Q,1,99,1,98,Robert Cohen,Su1900,Su,1900,2029,Su 1900-2029
90901,CRWR0560,CRWR,Special Project: Writing,R,1,99,0,99,Marion Wells,Su1900,Su,1900,2029,Su 1900-2029
90904,CRWR0560,CRWR,Special Project: Writing,U,1,99,1,98,Karin Gottshall,Su1900,Su,1900,2029,Su 1900-2029
90905,CRWR0560,CRWR,Special Project: Writing,V,1,99,0,99,Antonia Losano,Su1900,Su,1900,2029,Su 1900-2029
90906,CRWR0560,CRWR,Special Project: Writing,W,1,99,0,99,Benjamin Graves,Su1900,Su,1900,2029,Su 1900-2029
90907,CRWR0560,CRWR,Special Project: Writing,Y,1,99,0,99,Brett Millier,Su1900,Su,1900,2029,Su 1900-2029
90908,CRWR0560,CRWR,Special Project: Writing,Z,1,99,0,99,William Nash,Su1900,Su,1900,2029,Su 1900-2029
